kode,lat,lng,jml,polygons,colors
SMP35,-7.239025900556257,112.6121546111123,187,"[[112.59894725,  -7.2841852 ], [112.5026632 ,  -7.32922305], [112.53767574,  -7.23946796], [112.62009524,  -7.22801627], [112.62086667,  -7.25842279], [112.61708537,  -7.26786252]]","[240.733916223, 141.05413708100002, 111.06486503, 0.9]"
SMP36,-7.3399590135324315,112.72382761811373,255,"[[112.7030869 ,  -7.35414494], [112.70037583,  -7.36627373], [112.76943484,  -7.83592231], [112.75596489,  -7.44211625], [112.72679571,  -7.32710827], [112.72251061,  -7.32483711]]","[247.068010375, 173.26728867399999, 143.517134244, 0.9]"
SMP37,-7.215910406289218,112.66193112446875,64,"[[112.66979636,  -7.23883413], [112.68537133,  -7.23201746], [112.69796364,  -7.19877671], [112.69614935,  -7.11893892], [112.62932819,  -7.12694638], [112.63533763,  -7.21268618], [112.64783258,  -7.23104282], [112.65625457,  -7.23626062]]","[205.459355577, 66.252349746, 58.793222637, 0.9]"
SMP38,-7.219766820581216,112.75630742412018,674,"[[112.75370964,  -7.22703782], [112.74658899,  -7.21283647], [112.75242446,  -7.18999604], [112.76404907,  -7.22013018], [112.75778966,  -7.22853795]]","[120.632894112, 155.824746592, 247.51156500699997, 0.9]"
SMP39,-7.284778187146452,112.74831087466067,389,"[[112.74580758,  -7.27418956], [112.73721116,  -7.28425063], [112.73826371,  -7.29165222], [112.7400561,  -7.2929904], [112.7569771 ,  -7.29032312], [112.75737536,  -7.28258774]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP40,-7.332478239780793,112.69036007285933,376,"[[112.69280075,  -7.31935103], [112.69798322,  -7.32363037], [112.7030869 ,  -7.35414494], [112.70037583,  -7.36627373], [112.67155499,  -7.32867672], [112.67307055,  -7.32610312]]","[233.59798392300002, 212.66421378, 201.11668213199997, 0.9]"
SMP41,-7.26329189253138,112.665603651101,703,"[[112.6551976,  -7.2691753], [112.6694818 ,  -7.24179704], [112.6743409 ,  -7.26619191], [112.66081539,  -7.27832236]]","[108.4257374, 142.55983584, 241.245671555, 0.9]"
SMP42,-7.188710106666667,112.48316944,3,"[[ -43.25641732, -190.58147943], [112.38029565,  -7.49937113], [112.5026632 ,  -7.32922305], [112.53767574,  -7.23946796], [112.56765403,  -7.11686468], [-56.85359146, 163.28937457]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
SMP43,-7.239891552833195,112.76506463727958,676,"[[112.75896965,  -7.24739228], [112.7559484 ,  -7.24226129], [112.75969118,  -7.2328999 ], [112.7719449 ,  -7.23442831], [112.77472678,  -7.24009256], [112.76498978,  -7.248748  ]]","[119.257914144, 154.425764064, 246.97930167899997, 0.9]"
SMP44,-7.25727448744735,112.65407019977596,366,"[[112.64257542,  -7.26316051], [112.65625457,  -7.23626062], [112.66979636,  -7.23883413], [112.6694818 ,  -7.24179704], [112.6551976,  -7.2691753]]","[236.018672865, 210.506911008, 196.639758492, 0.9]"
SMP45,-7.305008163900165,112.76171968851516,363,"[[112.76708498,  -7.31552877], [112.77074817,  -7.31122974], [112.76857934,  -7.29642053], [112.7603309,  -7.2945209], [112.75264516,  -7.30738104]]","[236.669582465, 209.66027296, 195.11104406, 0.9]"
SMP46,-7.2732905294360775,112.7566508907385,413,"[[112.74923587,  -7.26232171], [112.74751483,  -7.2628334 ], [112.74577806,  -7.26605039], [112.74580758,  -7.27418956], [112.75737536,  -7.28258774], [112.76536584,  -7.27645911], [112.76147255,  -7.26573882]]","[222.230590371, 219.888891726, 218.53914733500002, 0.9]"
SMP47,-7.347823801644891,112.67034167065216,92,"[[ -43.25641732, -190.58147943], [ 134.00542788, -247.19105052], [112.76943484,  -7.83592231], [112.70037583,  -7.36627373], [112.67155499,  -7.32867672], [112.62807237,  -7.34314824], [112.38029565,  -7.49937113]]","[216.250302603, 86.261409684, 70.17743806200001, 0.9]"
SMP48,-7.286936084733505,112.70490326727148,291,"[[112.71582854,  -7.28673602], [112.71063612,  -7.27836037], [112.69181968,  -7.27806631], [112.68627435,  -7.29158345], [112.69611122,  -7.30080958], [112.70706435,  -7.30067993], [112.71551161,  -7.29428093]]","[246.575421726, 187.595850668, 160.873517567, 0.9]"
SMP49,-7.235483740159087,112.71360013622223,504,"[[112.71908457,  -7.24221904], [112.72282449,  -7.23186855], [112.7168949 ,  -7.21762709], [112.69796364,  -7.19877671], [112.68537133,  -7.23201746], [112.69095748,  -7.23932785], [112.71156942,  -7.24570859]]","[190.91401462999997, 211.058172525, 245.650287115, 0.9]"
SMP50,-7.260932171425047,112.73375966482864,426,"[[112.73695489,  -7.24884613], [112.73135983,  -7.25053453], [112.7252685 ,  -7.25835642], [112.72845865,  -7.26771921], [112.74577806,  -7.26605039], [112.74751483,  -7.2628334 ]]","[218.121483955, 220.26342547, 223.529730215, 0.9]"
SMP51,-7.336991056663063,112.73552965338288,222,"[[112.72679571,  -7.32710827], [112.75596489,  -7.44211625], [112.75773702,  -7.36231606], [112.75734267,  -7.36036047], [112.73810803,  -7.32724394]]","[245.206825223, 158.673007305, 127.89559426200002, 0.9]"
SMP52,-7.287851602242904,112.72669854894697,396,"[[112.71582854,  -7.28673602], [112.72905742,  -7.27960045], [112.73721116,  -7.28425063], [112.73826371,  -7.29165222], [112.72563483,  -7.29807857], [112.71551161,  -7.29428093]]","[228.449850915, 216.72604443, 209.992264455, 0.9]"
SMP53,-7.330363834124091,112.76839433569805,308,"[[112.76668415,  -7.3188464 ], [112.77795222,  -7.32882955], [112.75773702,  -7.36231606], [112.75734267,  -7.36036047], [112.75820889,  -7.32677655]]","[245.219408286, 193.297441548, 168.75450668699997, 0.9]"
SMP54,-7.309795857809628,112.79663611228372,215,"[[112.79101088,  -7.32138387], [112.92972181,  -7.3001857 ], [112.79117764,  -7.295403  ], [112.78549551,  -7.31059398]]","[244.64310605499998, 155.627968905, 124.79237199, 0.9]"
SMP55,-7.306481777480101,112.71970958335623,386,"[[112.71551161,  -7.29428093], [112.70706435,  -7.30067993], [112.71767497,  -7.31991138], [112.72112193,  -7.32165309], [112.7284455 ,  -7.31092138], [112.72563483,  -7.29807857]]","[231.069304179, 214.73322162, 205.568401236, 0.9]"
SMP56,-7.2751920984606,112.67627643882,150,"[[112.68627435,  -7.29158345], [112.69181968,  -7.27806631], [112.69057419,  -7.27161896], [112.6743409 ,  -7.26619191], [112.66081539,  -7.27832236], [112.66107028,  -7.29142267], [112.66143432,  -7.29187052], [112.66833218,  -7.29491587]]","[233.36506660499998, 121.61626442999999, 94.905750765, 0.9]"
SMP57,-7.256781596030843,112.7612610333441,711,"[[112.75896965,  -7.24739228], [112.74923587,  -7.26232171], [112.76147255,  -7.26573882], [112.7706748 ,  -7.25882588], [112.76498978,  -7.248748  ]]","[105.774230228, 139.45274939200002, 239.467320746, 0.9]"
SMP58,-7.219588496175197,112.60945390111023,127,"[[112.63533763,  -7.21268618], [112.62932819,  -7.12694638], [112.56765403,  -7.11686468], [112.53767574,  -7.23946796], [112.62009524,  -7.22801627]]","[227.495073411, 108.47412796, 84.98876455400001, 0.9]"
SMP59,-7.214255899472921,112.73473728683186,226,"[[112.73820019,  -7.22208507], [112.74658899,  -7.21283647], [112.75242446,  -7.18999604], [112.75360301,  -7.08893916], [112.69614935,  -7.11893892], [112.69796364,  -7.19877671], [112.7168949 ,  -7.21762709]]","[245.488684807, 160.195526505, 129.447205398, 0.9]"
SMP60,-7.255292431354233,112.70746806075378,470,"[[112.71578333,  -7.2579888 ], [112.71156942,  -7.24570859], [112.69095748,  -7.23932785], [112.69492337,  -7.26062484], [112.71148117,  -7.26327786]]","[204.15321606000003, 216.841371998, 237.15192789999998, 0.9]"
SMP61,-7.329833996981354,112.74785205551389,288,"[[112.75820889,  -7.32677655], [112.75734267,  -7.36036047], [112.73810803,  -7.32724394], [112.74569469,  -7.31984597]]","[246.723795897, 186.366677628, 159.29479694999998, 0.9]"
SMP62,-7.232323319159228,112.78047450344171,609,"[[112.77601688,  -7.22286786], [112.7719449 ,  -7.23442831], [112.77472678,  -7.24009256], [112.78418402,  -7.243726  ], [329.68578827,  96.17551242], [317.09006332, 119.25881156]]","[148.278967788, 181.92990185999997, 254.57016, 0.9]"
SMP63,-7.224770038459798,112.74632905743073,400,"[[112.75370964,  -7.22703782], [112.74658899,  -7.21283647], [112.73820019,  -7.22208507], [112.74063761,  -7.23344258]]","[226.376764067, 217.78032686199998, 212.841225415, 0.9]"
