kode,lat,lng,jml,polygons,colors
SMP26,-7.25657925703334,112.66129790068453,164,"[[112.66002609,  -7.26309575], [112.65482736,  -7.23736087], [112.68456315,  -7.23397763], [112.68412016,  -7.23637157], [112.66370026,  -7.2648346 ]]","[240.575040065, 204.580444672, 185.938757468, 0.9]"
SMP23,-7.319269182839591,112.77815414569896,192,"[[112.77115527,  -7.31012122], [112.78099961,  -7.30998249], [112.79213132,  -7.32324791], [112.78365956,  -7.33088775], [112.76965023,  -7.31906811], [112.76886633,  -7.31394237]]","[214.034617907, 219.59754054200002, 228.09590967100002, 0.9]"
SMP25,-7.261333286499607,112.71286842272214,160,"[[112.7235139 ,  -7.25781037], [112.72276132,  -7.25664086], [112.70410728,  -7.25228075], [112.70664545,  -7.2702271 ], [112.72036603,  -7.2712998 ], [112.72407469,  -7.26644676]]","[242.49368131000003, 200.6531335, 179.713974115, 0.9]"
SMP35,-7.327416813111101,112.77128000438688,148,"[[112.76882533,  -7.36506316], [112.78365956,  -7.33088775], [112.76965023,  -7.31906811], [112.76137707,  -7.33333739]]","[246.723795897, 186.366677628, 159.29479694999998, 0.9]"
SMP19,-7.288332394265637,112.77727524089566,131,"[[112.76632956,  -7.27803272], [112.76288679,  -7.28458321], [112.76655748,  -7.29510383], [112.79112024,  -7.2938836 ], [112.81027382,  -7.28137284], [112.77188325,  -7.27295975]]","[245.770544391, 161.718045705, 130.998816534, 0.9]"
SMP55,-7.325028180725949,112.72213143426667,130,"[[112.72665971,  -7.33333102], [112.73188569,  -7.32532134], [112.72939104,  -7.31694122], [112.7253715 ,  -7.31465251], [112.71426956,  -7.32223497], [112.71411111,  -7.32378045]]","[245.488684807, 160.195526505, 129.447205398, 0.9]"
SMP12,-7.296693175421664,112.74508348068518,126,"[[112.7492527 ,  -7.28604355], [112.7497533 ,  -7.30588749], [112.74710139,  -7.30925655], [112.74443885,  -7.30865677], [112.73064465,  -7.29128101], [112.74225513,  -7.28394267]]","[244.36124647100002, 154.105449705, 123.24076085400002, 0.9]"
SMP15,-7.225546380274854,112.77450538729802,110,"[[112.76959423,  -7.22306814], [112.77256473,  -7.23094415], [113.04410355,  -7.06188377], [314.10677284, 124.47060041], [258.81110465, 183.56180707]]","[234.161826509, 123.464235406, 96.337450893, 0.9]"
SMP8,-7.241740199993839,112.74681820382996,124,"[[112.7401995 ,  -7.24806117], [112.73884331,  -7.23740971], [112.73928149,  -7.23663215], [112.74752859,  -7.23667114], [112.75141269,  -7.24346331], [112.74358639,  -7.24939443], [112.7424784,  -7.2496142]]","[243.028668063, 149.228771161, 118.67002183, 0.9]"
SMP6,-7.274858594506342,112.75163887619651,103,"[[112.76632956,  -7.27803272], [112.76288679,  -7.28458321], [112.7492527 ,  -7.28604355], [112.74225513,  -7.28394267], [112.74146526,  -7.26924603], [112.74455582,  -7.2657039 ], [112.74633294,  -7.26550974]]","[228.45057168300002, 110.43401196, 86.363561802, 0.9]"
SMP1,-7.255235713197296,112.74949496999061,99,"[[112.74633294,  -7.26550974], [112.74455582,  -7.2657039 ], [112.7439027 ,  -7.26361986], [112.7424784,  -7.2496142], [112.74358639,  -7.24939443], [112.75793434,  -7.25426045], [112.75892818,  -7.25682054]]","[224.628578595, 102.59447596, 80.86437281, 0.9]"
SMP3,-7.2565331195517,112.73673711695751,86,"[[112.7439027 ,  -7.26361986], [112.7424784,  -7.2496142], [112.7401995 ,  -7.24806117], [112.7400755,  -7.2481046], [112.73114482,  -7.25530655]]","[209.202280089, 73.12505272199999, 62.515677549, 0.9]"
SMP63,-7.217180115558598,112.65681519494315,66,"[[112.63556357,  -7.22884547], [112.65060709,  -7.23730961], [112.65482736,  -7.23736087], [112.68456315,  -7.23397763], [112.68666499,  -7.23209597], [112.69397823,  -7.21808089], [112.70451818,  -7.11494726], [105.53232767, 233.0423992 ], [ 16.00117925, 212.74566929]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
