kode,lat,lng,jml,polygons,colors
SMP16,-7.255855416261844,112.75117673820567,141,"[[112.75809385,  -7.25223856], [112.76026578,  -7.25731339], [112.74765278,  -7.26515188], [112.74446079,  -7.26494832], [112.74345214,  -7.25119301]]","[243.028668063, 149.228771161, 118.67002183, 0.9]"
SMP17,-7.323551464872165,112.70241941216591,440,"[[112.7013758 ,  -7.30930259], [112.69365234,  -7.32147178], [112.69542293,  -7.32697384], [112.70490052,  -7.33576104], [112.71148517,  -7.32178661]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP18,-7.2236677884097045,112.74686319093358,271,"[[112.73995815,  -7.22799349], [112.75684879,  -7.22785247], [112.75723242,  -7.22512854], [112.75700277,  -7.22424768], [112.73649665,  -7.19849352], [112.73906339,  -7.22618754]]","[201.80503283, 215.92130306, 238.84343628999997, 0.9]"
SMP19,-7.232614391833564,112.77988727080852,188,"[[112.77883949,  -7.22966076], [112.77840592,  -7.24104319], [325.9535012 , 103.59141292], [287.94763383, 157.21895755]]","[245.761813662, 191.016805196, 165.602111039, 0.9]"
SMP20,-7.3068393970898935,112.66113918464096,376,"[[112.6751931 ,  -7.28816314], [112.66851456,  -7.28638269], [112.64692862,  -7.28885688], [112.66274121,  -7.32889008], [112.6739305 ,  -7.31296618], [112.67919562,  -7.29429359]]","[109.779256504, 144.045099072, 241.966801891, 0.9]"
SMP21,-7.218791104070055,112.7655685929558,181,"[[112.75700277,  -7.22424768], [112.75723242,  -7.22512854], [112.77322213,  -7.22095928], [276.17593806, 168.92388737], [245.67161752, 192.92859333]]","[246.723795897, 186.366677628, 159.29479694999998, 0.9]"
SMP22,-7.268125338020971,112.65670175955987,309,"[[112.66428851,  -7.26549406], [112.66851456,  -7.28638269], [112.64692862,  -7.28885688], [112.62719851,  -7.28529791], [112.64512046,  -7.26262126], [112.65888317,  -7.26304644]]","[170.14949570500002, 198.68999653499998, 253.204599315, 0.9]"
SMP23,-7.249749950856983,112.7264044077933,179,"[[112.72434803,  -7.24191786], [112.73379655,  -7.25004229], [112.73064171,  -7.25447246], [112.7216695 ,  -7.26121663], [112.71909712,  -7.25779198], [112.72208528,  -7.24164026]]","[246.891866745, 183.8152455, 156.13471279, 0.9]"
SMP24,-7.333662955408088,112.74762055644852,136,"[[112.76225648,  -7.33867984], [112.75000618,  -7.3237011 ], [112.74142576,  -7.33044708], [112.76416108,  -7.41919031], [112.76856991,  -7.36762246]]","[241.192866591, 142.689063897, 112.58589639, 0.9]"
SMP25,-7.2284287846793935,112.77595781912795,297,"[[112.77322213,  -7.22095928], [112.77059108,  -7.23290639], [112.77883949,  -7.22966076], [287.94763383, 157.21895755], [276.17593806, 168.92388737]]","[180.72352087800002, 205.45895417699998, 250.184786307, 0.9]"
SMP26,-7.2793828321838925,112.71030747054199,131,"[[112.7197848 ,  -7.27040151], [112.72108497,  -7.27726799], [112.70554368,  -7.28621011], [112.70196196,  -7.2732872 ], [112.70433558,  -7.27129262]]","[239.509711737, 137.59327958400002, 108.094552257, 0.9]"
SMP27,-7.2569323512651405,112.73649027765421,107,"[[112.73379655,  -7.25004229], [112.74141928,  -7.24783949], [112.74345214,  -7.25119301], [112.74446079,  -7.26494832], [112.74365382,  -7.26555629], [112.73064171,  -7.25447246]]","[228.45057168300002, 110.43401196, 86.363561802, 0.9]"
