lat,lng,class,colors
-7.223342581,112.7310757,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.309031545,112.78091950000001,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.324973339,112.7679912,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.3175569320000005,112.71306680000001,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.260268566000001,112.7071649,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.3092398,112.801604,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.307936934,112.78124209999999,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.250294906000001,112.63066,46,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.3228434039999994,112.7149253,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.316150358,112.79648470000001,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.2322152520000005,112.77953470000001,9,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.325405786,112.76328429999998,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.22758139,112.78228090000002,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.237100752000001,112.7810531,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.2699834260000005,112.6534563,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.230065522,112.77885659999998,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.340644435,112.74330020000001,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.300340601,112.77984440000002,21,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.2618465379999995,112.6882392,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.222862052000001,112.60749109999999,7,"[153.42806430141175, 62.36855036894117, 50.462364365647055, 0.9]"
-7.335507317999999,112.74791119999999,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.210156767000001,112.7634896,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.232545245,112.77907490000001,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.267400777000001,112.69981609999998,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.322323698,112.6615825,32,"[152.52568301011766, 155.2450468277647, 159.39728466564705, 0.9]"
-7.22173,112.727034,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.268991064,112.67227679999999,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
-7.267102123,112.67181950000001,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
-7.2217394189999995,112.72749750000001,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.2912831879999995,112.77442420000001,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.215986435,112.75885690000001,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.318130465,112.7064003,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.252403734,112.73854720000001,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.264953737999999,112.7136114,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.244591145,112.79418590000002,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.315409936,112.7764648,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.316122158,112.6817834,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.334014587,112.74209920000001,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.314180767000001,112.79705020000002,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.293577721,112.71000159999998,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.337325469,112.73345859999999,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.29225752,112.77328390000001,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
