kode,jml,peminat,lat,lng,polygons,colors
SMP42,128,903,-7.24708120904981,112.713873976844,"[[112.72485897,  -7.24419716], [112.71564306,  -7.23114325], [112.69442933,  -7.2163879 ], [112.68512812,  -7.22595183], [112.6858756 ,  -7.23294911], [112.70413553,  -7.25344998], [112.72274848,  -7.25581588], [112.72488153,  -7.24431008]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP43,112,659,-7.2508428050767,112.73416424208,"[[112.74213983,  -7.25088187], [112.73211595,  -7.25464533], [112.7233807 ,  -7.25706756], [112.72274848,  -7.25581588], [112.72488153,  -7.24431008], [112.74121976,  -7.24818362], [112.74185003,  -7.24911724]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP44,96,607,-7.230803,112.745882,"[[112.73915276,  -7.22860652], [112.75575285,  -7.22439708], [112.75708127,  -7.23244086], [112.74760887,  -7.23666224], [112.74174359,  -7.23688137]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP45,128,475,-7.2634723166697,112.78530904663,"[[112.77071643,  -7.2736985 ], [112.81366549,  -7.28234003], [112.88296206,  -7.27465933], [112.77896442,  -7.25128814], [112.76990192,  -7.26476895]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP46,112,1004,-7.2897273700638,112.71530778895,"[[112.71861861,  -7.30474007], [112.73001232,  -7.29260678], [112.71891794,  -7.27665464], [112.70613878,  -7.29427673], [112.70658159,  -7.30407913]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP47,112,516,-7.2653118667763,112.67254976935,"[[112.68614344,  -7.27644758], [112.67405504,  -7.28795522], [112.66733729,  -7.28677252], [112.66222342,  -7.26507706], [112.66404879,  -7.26159574], [112.68240119,  -7.24553784]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP48,128,608,-7.29662,112.755638,"[[112.76959009,  -7.29867204], [112.76971286,  -7.29828627], [112.76432988,  -7.28142501], [112.74881017,  -7.2862801 ], [112.75104436,  -7.30592516]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP49,128,267,-7.342181,112.752264,"[[112.75298835,  -7.32841305], [112.74395402,  -7.33281513], [112.77646929,  -7.54943386], [112.77366646,  -7.35034289], [112.76077459,  -7.33225225]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP50,112,591,-7.26238957594551,112.696686902189,"[[112.69575961,  -7.27647828], [112.704546  ,  -7.27206574], [112.70413553,  -7.25344998], [112.6858756 ,  -7.23294911], [112.68240119,  -7.24553784], [112.68614344,  -7.27644758]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP51,99,159,-7.3317076731294,112.6859462576,"[[  29.50240571, -232.75618872], [  57.33473195, -241.30779317], [112.67641346,  -7.48980254], [112.68777868,  -7.41919145], [112.69790154,  -7.34148286], [112.68890195,  -7.32694206], [112.6666031 ,  -7.32829205], [112.66579852,  -7.32902853]]","[240.14062210499998, 139.33543664, 109.575302945, 0.9]"
SMP52,96,456,-7.305061,112.782162,"[[112.77204238,  -7.31013638], [112.78429746,  -7.31376593], [112.78852079,  -7.29604216], [112.76971286,  -7.29828627], [112.76959009,  -7.29867204]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP53,112,711,-7.2559938210463,112.63429112136,"[[112.64506796,  -7.26108368], [112.62265503,  -7.29138286], [112.58243521,  -7.30075658], [112.63926572,  -7.22218726], [112.64427613,  -7.22467707], [112.64584607,  -7.23755161]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
