kode,lat,lng,jml,polygons,colors
SMP18,-7.275446906255861,112.76583400172126,336,"[[112.76252827,  -7.28874756], [112.78095399,  -7.28008726], [112.78047574,  -7.27471204], [112.76870577,  -7.26630682], [112.76157146,  -7.26711087], [112.7584299 ,  -7.28141172]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP19,-7.2645074533261065,112.67098311427254,298,"[[112.67937434,  -7.26837676], [112.66155641,  -7.27760258], [112.67080632,  -7.24431271]]","[228.449850915, 216.72604443, 209.992264455, 0.9]"
SMP20,-7.317620121244962,112.73644257616597,268,"[[112.73544749,  -7.30896882], [112.72255814,  -7.3184955 ], [112.72239422,  -7.32044439], [112.72509874,  -7.3254155 ], [112.73642726,  -7.32982939], [112.75051312,  -7.31531815], [112.75004473,  -7.31389749], [112.74523972,  -7.3096315 ]]","[237.971401665, 207.966996864, 192.05361519599998, 0.9]"
SMP21,-7.311834348002714,112.79834322380297,193,"[[112.79215586,  -7.32302802], [112.87080504,  -7.31732157], [112.78995057,  -7.2986911 ], [112.78593691,  -7.30418438]]","[247.068010375, 173.26728867399999, 143.517134244, 0.9]"
SMP22,-7.315313086871867,112.70901502892482,336,"[[112.71286142,  -7.3002992 ], [112.72255814,  -7.3184955 ], [112.72239422,  -7.32044439], [112.70784931,  -7.32363515], [112.69668249,  -7.31756815], [112.69979742,  -7.30257928]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP23,-7.243440984547421,112.77463203389567,260,"[[112.77156616,  -7.25244444], [112.78148535,  -7.25141279], [112.78439963,  -7.24016513], [112.77126094,  -7.23511794], [112.77011044,  -7.23610842], [112.76822059,  -7.24997774]]","[240.575040065, 204.580444672, 185.938757468, 0.9]"
SMP24,-7.033645823896139,112.63974859068254,3,"[[56.64921306,  1.75734594], [112.58064109,  -7.12548462], [112.70137971,  -7.11670834], [112.7560304 ,  -7.08816447], [308.5560805 , 132.22103441], [ 71.62535256, 241.59151314]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
SMP25,-7.2275722128808555,112.73267571613749,262,"[[112.73886426,  -7.23785554], [112.74255062,  -7.22233126], [112.71746602,  -7.21908165], [112.72139853,  -7.2287343 ]]","[239.924130465, 205.42708272, 187.46747190000002, 0.9]"
SMP26,-7.347399107691749,112.67038216485001,46,"[[  38.00902159, -284.7005623 ], [ 134.80837601, -247.09177888], [112.76752349,  -7.80343121], [112.70301663,  -7.36831748], [112.70185513,  -7.36539464], [112.69655939,  -7.356368  ], [112.66888229,  -7.33018225], [112.57336148,  -7.37823749], [ 53.64620419, -44.90858781]]","[205.459355577, 66.252349746, 58.793222637, 0.9]"
SMP27,-7.308800216386544,112.76319365407701,279,"[[112.75832267,  -7.32082548], [112.75051312,  -7.31531815], [112.75004473,  -7.31389749], [112.7634598 ,  -7.29712739], [112.77516852,  -7.30682327], [112.76944192,  -7.31795254]]","[235.283770419, 211.28487522, 198.14886939599998, 0.9]"
SMP28,-7.215893043723397,112.76941512640555,497,"[[112.7560304 ,  -7.08816447], [112.75277394,  -7.18783985], [112.76308988,  -7.2218616 ], [112.77166166,  -7.2253032 ], [113.08919794,  -7.01936997], [311.06230074, 129.18401868], [308.5560805 , 132.22103441]]","[128.88277391999998, 164.21864176000003, 250.705144975, 0.9]"
